#RA,DEC,DR3Name,parallax,distance,pm_tot,pmra,pmdec,G_mag,G_abs,Gbp_mag,Grp_mag,PDA,Teff,logg,mass,SpTy,MWDD_SpTy,Simbad_Name,Simbad_Main_Type,Simbad_Other_Type
0.5484242195,-43.16843961827,Gaia DR3 4994877094997259264,120.0143,8.332342480559642,921.242,613.785,-686.989,12.895188,13.291352770328423,13.002297,12.692817,0.885899305343627,8327.2,8.3007,0.7749,DA,DA,LAWD 96,WD*,DAP5.8
0.68121411364,-45.07861054976,Gaia DR3 4991430435282528768,10.9926,90.97054744483857,27.962,-25.935,-10.454,17.144432,12.34992802673687,17.18768,17.091192,0.202044457197189,10327.537609444798,8.1099,0.6403,non-DA,,GALEX 2671454840532501548,Star,
0.80530401122,65.21336473928,Gaia DR3 432177373309335424,10.7675,92.87240762643462,105.385,105.352,-2.638,17.515848,12.676414638019423,17.562819,17.38144,0.288206726312637,9429,8.1642,0.6723,non-DA,,UVEX J000313.11+651248.1,WD*,DC
0.88292451353,-16.73288771858,Gaia DR3 2414888694102153088,26.2578,38.08398559525111,247.218,247.215,1.104,14.60943,11.705718352015527,14.57396,14.641149,0.0602,12849.947175655278,8.0295,0.5957,non-DA,DBA,EGGR 508,WD*,DB4
1.19026248484,-61.39488219077,Gaia DR3 4905586644763227776,17.3058,57.78411990150497,167.557,131.248,-104.16,16.590214,12.7811712605841,16.641376,16.497536,0.237488031387328,9811.8,8.3052,0.7647,non-DA,,SCR J0004-6120B,PM*,
1.21432349038,29.6619661349,Gaia DR3 2861039996910810880,11.0529,90.4739809773552,67.205,64.401,19.211,17.237877,12.455258390685419,17.280539,17.195042,0.253907740116119,10458.371349075149,8.2037,0.6999,non-DA,,Gaia DR2 2861039996910810880,WD*_Candidate,
1.25591916566,40.05995137174,Gaia DR3 2881925666956510848,15.5977,64.11203464436444,230.481,207.721,99.868,16.776169,12.741471024395315,16.83919,16.65999,0.230601072311401,9450,8.2119,0.7034,non-DA,DZA,GD 1,WD*,DZA:
1.28131580322,73.21981578321,Gaia DR3 537563127588521600,28.9825,34.5036117604353,224.31,188.161,122.108,14.27265,11.583326972905223,14.221807,14.328106,0.0459,13646.868327863851,8.0401,0.6035,non-DA,DBAZ,GD 408,WD*,DB4
1.41048576082,-60.00862207483,Gaia DR3 4905957459355567232,12.7077,78.69249200471548,46.668,-14.307,44.421,15.511152,11.031485774432454,15.441607,15.684247,0.935470223426817,18225.156585704597,8.0482,0.6405,DA,,UCAC4 150-000115,Star,
1.49428145805,34.86079017296,Gaia DR3 2876705018245556480,11.1532,89.66071060408039,67.666,66.711,11.328,17.030926,12.267914868056343,17.074585,16.98561,0.167230427265166,10416.953804551753,8.0682,0.6148,non-DA,DC,SDSS J000558.56+345138.8,WD*,DC
1.51575331363,7.92058637312,Gaia DR3 2746037712074342784,10.4814,95.40749979685351,50.568,-35.761,-35.753,17.92196,13.024048255261942,18.030571,17.75807,0.477864742279052,8624.9,8.2202,0.7074,non-DA,DAH,SDSS J000603.79+075514.2,WD*,DAH
